mid,mad,wsol,rac1,rac2
0.2428,0.08625,1,0.3514,0.3527
0.2371,0.17174,1,0.7082,0.7267
0.23642,0.20383,1,0.8302,0.845
0.23711,0.23245,1,0.9498,0.964
0.23799,0.2956,2,1.235,1.2016
0.23629,0.40438,2,1.6652,1.6547
0.23795,0.57393,2,2.2914,2.2292
